Time,Date,TotalVertices,TotalEdges,Density
1471597200000,19/08/2016 09:00:00,12,8,0.060606062412261962890625
1471600800000,19/08/2016 10:00:00,6,2,0.066666670143604278564453125
1471604400000,19/08/2016 11:00:00,24,18,0.032608695328235626220703125
1471608000000,19/08/2016 12:00:00,37,20,0.01501501537859439849853515625
1471611600000,19/08/2016 13:00:00,37,18,0.013513513840734958648681640625
1471615200000,19/08/2016 14:00:00,20,16,0.042105264961719512939453125
1471618800000,19/08/2016 15:00:00,48,40,0.017730496823787689208984375
1471622400000,19/08/2016 16:00:00,61,26,0.00710382498800754547119140625
1471626000000,19/08/2016 17:00:00,63,40,0.0102406553924083709716796875
1471629600000,19/08/2016 18:00:00,52,34,0.012820512987673282623291015625
1471633200000,19/08/2016 19:00:00,113,80,0.006321112625300884246826171875
1471636800000,19/08/2016 20:00:00,59,24,0.0070134424604475498199462890625
1471640400000,19/08/2016 21:00:00,63,48,0.012288786470890045166015625
1471644000000,19/08/2016 22:00:00,80,58,0.009177215397357940673828125
1471647600000,19/08/2016 23:00:00,153,118,0.0050739594735205173492431640625
1471651200000,20/08/2016 00:00:00,137,112,0.00601116381585597991943359375
1471654800000,20/08/2016 01:00:00,100,50,0.0050505050458014011383056640625
1471658400000,20/08/2016 02:00:00,99,70,0.007215007208287715911865234375
1471662000000,20/08/2016 03:00:00,138,128,0.0067703374661505222320556640625
1471665600000,20/08/2016 04:00:00,113,84,0.006637168116867542266845703125
1471669200000,20/08/2016 05:00:00,63,48,0.012288786470890045166015625
1471672800000,20/08/2016 06:00:00,64,68,0.01686508022248744964599609375
1471676400000,20/08/2016 07:00:00,53,72,0.02612481825053691864013671875
1471680000000,20/08/2016 08:00:00,27,18,0.02564102597534656524658203125
1471683600000,20/08/2016 09:00:00,17,4,0.014705882407724857330322265625
1471687200000,20/08/2016 10:00:00,17,8,0.02941176481544971466064453125
1471690800000,20/08/2016 11:00:00,55,40,0.013468013145029544830322265625
1471694400000,20/08/2016 12:00:00,72,52,0.01017214357852935791015625
1471698000000,20/08/2016 13:00:00,121,100,0.0068870522081851959228515625
1471701600000,20/08/2016 14:00:00,122,74,0.005012870766222476959228515625
1471705200000,20/08/2016 15:00:00,107,72,0.0063480869866907596588134765625
1471708800000,20/08/2016 16:00:00,93,46,0.0053763440810143947601318359375
1471712400000,20/08/2016 17:00:00,112,94,0.0075611327774822711944580078125
1471716000000,20/08/2016 18:00:00,101,68,0.006732673384249210357666015625
1471719600000,20/08/2016 19:00:00,128,100,0.006151574663817882537841796875
1471723200000,20/08/2016 20:00:00,100,52,0.00525252521038055419921875
1471726800000,20/08/2016 21:00:00,240,162,0.0028242678381502628326416015625
1471730400000,20/08/2016 22:00:00,202,140,0.00344810611568391323089599609375
1471734000000,20/08/2016 23:00:00,281,224,0.00284697511233389377593994140625
1471737600000,21/08/2016 00:00:00,200,120,0.0030150753445923328399658203125
1471741200000,21/08/2016 01:00:00,197,102,0.002641665749251842498779296875
1471744800000,21/08/2016 02:00:00,240,130,0.00226638768799602985382080078125
1471748400000,21/08/2016 03:00:00,207,194,0.00454950518906116485595703125
1471752000000,21/08/2016 04:00:00,202,200,0.0049258656799793243408203125
1471755600000,21/08/2016 05:00:00,88,62,0.008098223246634006500244140625
1471759200000,21/08/2016 06:00:00,65,46,0.011057692579925060272216796875
1471762800000,21/08/2016 07:00:00,57,52,0.01629072614014148712158203125
1471766400000,21/08/2016 08:00:00,64,36,0.008928571827709674835205078125
1471770000000,21/08/2016 09:00:00,72,54,0.010563380084931850433349609375
1471773600000,21/08/2016 10:00:00,41,28,0.01707317121326923370361328125
1471777200000,21/08/2016 11:00:00,93,68,0.00794763863086700439453125
1471780800000,21/08/2016 12:00:00,123,102,0.006797281093895435333251953125
1471784400000,21/08/2016 13:00:00,130,64,0.0038163387216627597808837890625
1471788000000,21/08/2016 14:00:00,96,54,0.00592105276882648468017578125
1471791600000,21/08/2016 15:00:00,151,136,0.0060044149868190288543701171875
1471795200000,21/08/2016 16:00:00,225,244,0.00484126992523670196533203125
1471798800000,21/08/2016 17:00:00,201,158,0.0039303484372794628143310546875
1471802400000,21/08/2016 18:00:00,209,154,0.00354251009412109851837158203125
1471806000000,21/08/2016 19:00:00,294,298,0.003459404222667217254638671875
1471809600000,21/08/2016 20:00:00,179,130,0.004080095328390598297119140625
1471813200000,21/08/2016 21:00:00,124,96,0.0062942565418779850006103515625
1471816800000,21/08/2016 22:00:00,195,116,0.00306634954176843166351318359375
1471820400000,21/08/2016 23:00:00,229,194,0.0037156208418309688568115234375
1471824000000,22/08/2016 00:00:00,206,152,0.00359933706931769847869873046875
1471827600000,22/08/2016 01:00:00,215,168,0.0036513800732791423797607421875
1471831200000,22/08/2016 02:00:00,295,344,0.003966332413256168365478515625
1471834800000,22/08/2016 03:00:00,180,188,0.005834884941577911376953125
1471838400000,22/08/2016 04:00:00,132,138,0.007980569265782833099365234375
1471842000000,22/08/2016 05:00:00,102,98,0.009512715972959995269775390625
1471845600000,22/08/2016 06:00:00,73,78,0.014840182848274707794189453125
1471849200000,22/08/2016 07:00:00,17,14,0.0514705888926982879638671875
1471852800000,22/08/2016 08:00:00,24,10,0.0181159414350986480712890625
1471856400000,22/08/2016 09:00:00,34,20,0.01782531104981899261474609375
1471860000000,22/08/2016 10:00:00,44,12,0.00634249486029148101806640625
1471863600000,22/08/2016 11:00:00,49,30,0.012755102477967739105224609375
1471867200000,22/08/2016 12:00:00,88,38,0.0049634273163974285125732421875
1471870800000,22/08/2016 13:00:00,122,104,0.0070451158098876476287841796875
1471874400000,22/08/2016 14:00:00,272,256,0.0034729759208858013153076171875
1471878000000,22/08/2016 15:00:00,270,246,0.0033870302140712738037109375
1471881600000,22/08/2016 16:00:00,234,208,0.003814973868429660797119140625
1471885200000,22/08/2016 17:00:00,210,208,0.00473912060260772705078125
1471888800000,22/08/2016 18:00:00,175,124,0.0040722494013607501983642578125
1471892400000,22/08/2016 19:00:00,177,150,0.0048151002265512943267822265625
1471896000000,22/08/2016 20:00:00,206,154,0.00364669668488204479217529296875
1471899600000,22/08/2016 21:00:00,185,148,0.0043478258885443210601806640625
1471903200000,22/08/2016 22:00:00,179,170,0.0053355093114078044891357421875
1471906800000,22/08/2016 23:00:00,247,184,0.00302820838987827301025390625
1471910400000,23/08/2016 00:00:00,284,248,0.00308565166778862476348876953125
1471914000000,23/08/2016 01:00:00,334,318,0.00285914656706154346466064453125
1471917600000,23/08/2016 02:00:00,352,400,0.00323750334791839122772216796875
1471921200000,23/08/2016 03:00:00,187,210,0.0060376054607331752777099609375
1471924800000,23/08/2016 04:00:00,131,106,0.00622431002557277679443359375
1471928400000,23/08/2016 05:00:00,94,96,0.01098146848380565643310546875
1471932000000,23/08/2016 06:00:00,63,48,0.012288786470890045166015625
1471935600000,23/08/2016 07:00:00,101,98,0.009702970273792743682861328125
1471939200000,23/08/2016 08:00:00,68,52,0.01141352020204067230224609375
1471942800000,23/08/2016 09:00:00,44,30,0.0158562362194061279296875
1471946400000,23/08/2016 10:00:00,52,34,0.012820512987673282623291015625
1471950000000,23/08/2016 11:00:00,60,16,0.0045197741128504276275634765625
1471953600000,23/08/2016 12:00:00,123,82,0.0054644807241857051849365234375
1471957200000,23/08/2016 13:00:00,148,134,0.0061592203564941883087158203125
1471960800000,23/08/2016 14:00:00,139,98,0.0051089562475681304931640625
1471964400000,23/08/2016 15:00:00,208,182,0.0042270529083907604217529296875
1471968000000,23/08/2016 16:00:00,341,282,0.00243229256011545658111572265625
1471971600000,23/08/2016 17:00:00,409,336,0.00201351940631866455078125
1471975200000,23/08/2016 18:00:00,387,318,0.00212877057492733001708984375
1471978800000,23/08/2016 19:00:00,287,200,0.00243658781982958316802978515625
1471982400000,23/08/2016 20:00:00,511,404,0.001550209126435220241546630859375
1471986000000,23/08/2016 21:00:00,566,516,0.001613558852113783359527587890625
1471989600000,23/08/2016 22:00:00,400,340,0.0021303258836269378662109375
1471993200000,23/08/2016 23:00:00,402,354,0.00219600251875817775726318359375
1471996800000,24/08/2016 00:00:00,364,276,0.00208882032893598079681396484375
1472000400000,24/08/2016 01:00:00,439,394,0.00204907380975782871246337890625
1472004000000,24/08/2016 02:00:00,426,400,0.00220933440141379833221435546875
1472007600000,24/08/2016 03:00:00,312,272,0.002803198993206024169921875
1472011200000,24/08/2016 04:00:00,303,336,0.00367189035750925540924072265625
1472014800000,24/08/2016 05:00:00,125,122,0.007870967499911785125732421875
1472018400000,24/08/2016 06:00:00,106,116,0.010422281920909881591796875
1472022000000,24/08/2016 07:00:00,100,68,0.0068686869926750659942626953125
1472025600000,24/08/2016 08:00:00,106,48,0.0043126684613525867462158203125
1472029200000,24/08/2016 09:00:00,74,42,0.0077748983167111873626708984375
1472032800000,24/08/2016 10:00:00,207,148,0.0034707565791904926300048828125
1472036400000,24/08/2016 11:00:00,288,200,0.00241966708563268184661865234375
1472040000000,24/08/2016 12:00:00,423,300,0.0016806158237159252166748046875
1472043600000,24/08/2016 13:00:00,418,276,0.00158342230133712291717529296875
1472047200000,24/08/2016 14:00:00,368,284,0.00210283137857913970947265625
1472050800000,24/08/2016 15:00:00,460,396,0.00187553279101848602294921875
1472054400000,24/08/2016 16:00:00,501,404,0.001612774445675313472747802734375
1472058000000,24/08/2016 17:00:00,485,454,0.001934054656885564327239990234375
1472061600000,24/08/2016 18:00:00,372,284,0.0020577921532094478607177734375
1472065200000,24/08/2016 19:00:00,499,404,0.001625741482712328433990478515625
1472068800000,24/08/2016 20:00:00,456,366,0.001764025422744452953338623046875
1472072400000,24/08/2016 21:00:00,487,462,0.00195198622532188892364501953125
1472076000000,24/08/2016 22:00:00,532,424,0.001500927493907511234283447265625
1472079600000,24/08/2016 23:00:00,503,370,0.0014653117395937442779541015625
1472083200000,25/08/2016 00:00:00,558,518,0.001666634459979832172393798828125
1472086800000,25/08/2016 01:00:00,601,562,0.00155851361341774463653564453125
1472090400000,25/08/2016 02:00:00,541,510,0.00174573832191526889801025390625
1472094000000,25/08/2016 03:00:00,387,360,0.0024099289439618587493896484375
1472097600000,25/08/2016 04:00:00,251,284,0.0045258966274559497833251953125
1472101200000,25/08/2016 05:00:00,163,158,0.00598348863422870635986328125
1472104800000,25/08/2016 06:00:00,110,90,0.0075062550604343414306640625
1472108400000,25/08/2016 07:00:00,119,86,0.0061244838871061801910400390625
1472112000000,25/08/2016 08:00:00,139,94,0.00490042753517627716064453125
1472115600000,25/08/2016 09:00:00,149,84,0.00380917824804782867431640625
1472119200000,25/08/2016 10:00:00,262,208,0.00304173608310520648956298828125
1472122800000,25/08/2016 11:00:00,260,184,0.002732402645051479339599609375
1472126400000,25/08/2016 12:00:00,358,336,0.00262898462824523448944091796875
1472130000000,25/08/2016 13:00:00,340,288,0.00249869865365326404571533203125
1472133600000,25/08/2016 14:00:00,347,272,0.00226549617946147918701171875
1472137200000,25/08/2016 15:00:00,322,244,0.002360635437071323394775390625
1472140800000,25/08/2016 16:00:00,447,346,0.00173553638160228729248046875
1472144400000,25/08/2016 17:00:00,676,276,0.0006048651994206011295318603515625
1472148000000,25/08/2016 18:00:00,377,278,0.001961171627044677734375
1472151600000,25/08/2016 19:00:00,261,190,0.0027998820878565311431884765625
1472155200000,25/08/2016 20:00:00,299,186,0.002087495289742946624755859375
1472158800000,25/08/2016 21:00:00,306,268,0.002871531061828136444091796875
1472162400000,25/08/2016 22:00:00,386,328,0.00220711925067007541656494140625
1472166000000,25/08/2016 23:00:00,460,354,0.001676612650044262409210205078125
1472169600000,26/08/2016 00:00:00,522,558,0.0020517571829259395599365234375
1472173200000,26/08/2016 01:00:00,592,608,0.001737778424285352230072021484375
1472176800000,26/08/2016 02:00:00,491,468,0.001945217954926192760467529296875
1472180400000,26/08/2016 03:00:00,456,450,0.00216888380236923694610595703125
1472184000000,26/08/2016 04:00:00,289,284,0.00341214914806187152862548828125
1472187600000,26/08/2016 05:00:00,287,292,0.00355741824023425579071044921875
1472191200000,26/08/2016 06:00:00,174,168,0.0055810245685279369354248046875
1472194800000,26/08/2016 07:00:00,206,210,0.004972768016159534454345703125
1472198400000,26/08/2016 08:00:00,201,164,0.0040796021930873394012451171875
1472202000000,26/08/2016 09:00:00,215,162,0.00352097372524440288543701171875
1472205600000,26/08/2016 10:00:00,215,164,0.003564442507922649383544921875
1472209200000,26/08/2016 11:00:00,200,132,0.00331658287905156612396240234375
1472212800000,26/08/2016 12:00:00,332,308,0.00280275172553956508636474609375
1472216400000,26/08/2016 13:00:00,387,322,0.0021555474959313869476318359375
1472220000000,26/08/2016 14:00:00,240,212,0.00369595526717603206634521484375
1472223600000,26/08/2016 15:00:00,292,240,0.00282445992343127727508544921875
1472227200000,26/08/2016 16:00:00,391,282,0.0018493016250431537628173828125
1472230800000,26/08/2016 17:00:00,356,242,0.00191485998220741748809814453125
1472234400000,26/08/2016 18:00:00,358,268,0.0020969281904399394989013671875
1472238000000,26/08/2016 19:00:00,456,274,0.001320609240792691707611083984375
1472241600000,26/08/2016 20:00:00,389,274,0.001815387047827243804931640625
1472245200000,26/08/2016 21:00:00,306,220,0.00235722702927887439727783203125
1472248800000,26/08/2016 22:00:00,447,376,0.001886016339994966983795166015625
1472252400000,26/08/2016 23:00:00,422,314,0.001767401001416146755218505859375
1472256000000,27/08/2016 00:00:00,416,270,0.0015639481134712696075439453125
1472259600000,27/08/2016 01:00:00,456,312,0.001503759413026273250579833984375
1472263200000,27/08/2016 02:00:00,388,294,0.0019579636864364147186279296875
1472266800000,27/08/2016 03:00:00,390,302,0.0019906400702893733978271484375
1472270400000,27/08/2016 04:00:00,333,294,0.0026592859067022800445556640625
1472274000000,27/08/2016 05:00:00,260,220,0.00326700322329998016357421875
1472277600000,27/08/2016 06:00:00,336,294,0.0026119402609765529632568359375
1472281200000,27/08/2016 07:00:00,280,248,0.00317460321821272373199462890625
1472284800000,27/08/2016 08:00:00,196,162,0.00423861853778362274169921875
1472288400000,27/08/2016 09:00:00,176,134,0.00435064919292926788330078125
1472292000000,27/08/2016 10:00:00,255,168,0.0025937934406101703643798828125
1472295600000,27/08/2016 11:00:00,266,170,0.0024116896092891693115234375
1472299200000,27/08/2016 12:00:00,373,244,0.00175848254002630710601806640625
1472302800000,27/08/2016 13:00:00,333,250,0.00226129754446446895599365234375
1472306400000,27/08/2016 14:00:00,367,284,0.00211432226933538913726806640625
1472310000000,27/08/2016 15:00:00,416,336,0.00194624648429453372955322265625
1472313600000,27/08/2016 16:00:00,360,272,0.0021046116016805171966552734375
